Run,Algorithm,Size,Type,Time_sec,Memory_MB,CPU_percent,Status
27,Quick Sort,50000,partially_sorted,0.0773940000217408,0.0,15.4,Success
27,Timsort,50000,partially_sorted,0.0017296000150963664,0.0,0.0,Success
28,Quick Sort,50000,partially_sorted,0.07585009996546432,0.0,13.9,Success
28,Timsort,50000,partially_sorted,0.001879399991594255,0.0,0.0,Success
29,Quick Sort,50000,partially_sorted,0.07439389999490231,0.00390625,12.8,Success
29,Timsort,50000,partially_sorted,0.0016881999908946455,0.0,0.0,Success
30,Quick Sort,50000,partially_sorted,0.07279240002389997,0.0,13.9,Success
30,Timsort,50000,partially_sorted,0.00167859997600317,0.0,0.0,Success
1,Quick Sort,50000,corrupted,,,,Failed
1,Timsort,50000,corrupted,,,,Failed
2,Quick Sort,50000,corrupted,,,,Failed
2,Timsort,50000,corrupted,,,,Failed
3,Quick Sort,50000,corrupted,,,,Failed
3,Timsort,50000,corrupted,,,,Failed
4,Quick Sort,50000,corrupted,,,,Failed
4,Timsort,50000,corrupted,,,,Failed
5,Quick Sort,50000,corrupted,,,,Failed
5,Timsort,50000,corrupted,,,,Failed
6,Quick Sort,50000,corrupted,,,,Failed
6,Timsort,50000,corrupted,,,,Failed
7,Quick Sort,50000,corrupted,,,,Failed
7,Timsort,50000,corrupted,,,,Failed
8,Quick Sort,50000,corrupted,,,,Failed
8,Timsort,50000,corrupted,,,,Failed
9,Quick Sort,50000,corrupted,,,,Failed
9,Timsort,50000,corrupted,,,,Failed
10,Quick Sort,50000,corrupted,,,,Failed
10,Timsort,50000,corrupted,,,,Failed
11,Quick Sort,50000,corrupted,,,,Failed
11,Timsort,50000,corrupted,,,,Failed
12,Quick Sort,50000,corrupted,,,,Failed
12,Timsort,50000,corrupted,,,,Failed
13,Quick Sort,50000,corrupted,,,,Failed
13,Timsort,50000,corrupted,,,,Failed
14,Quick Sort,50000,corrupted,,,,Failed
14,Timsort,50000,corrupted,,,,Failed
15,Quick Sort,50000,corrupted,,,,Failed
15,Timsort,50000,corrupted,,,,Failed
16,Quick Sort,50000,corrupted,,,,Failed
16,Timsort,50000,corrupted,,,,Failed
17,Quick Sort,50000,corrupted,,,,Failed
17,Timsort,50000,corrupted,,,,Failed
18,Quick Sort,50000,corrupted,,,,Failed
18,Timsort,50000,corrupted,,,,Failed
19,Quick Sort,50000,corrupted,,,,Failed
19,Timsort,50000,corrupted,,,,Failed
20,Quick Sort,50000,corrupted,,,,Failed
20,Timsort,50000,corrupted,,,,Failed
21,Quick Sort,50000,corrupted,,,,Failed
21,Timsort,50000,corrupted,,,,Failed
22,Quick Sort,50000,corrupted,,,,Failed
22,Timsort,50000,corrupted,,,,Failed
23,Quick Sort,50000,corrupted,,,,Failed
23,Timsort,50000,corrupted,,,,Failed
24,Quick Sort,50000,corrupted,,,,Failed
24,Timsort,50000,corrupted,,,,Failed
25,Quick Sort,50000,corrupted,,,,Failed
25,Timsort,50000,corrupted,,,,Failed
26,Quick Sort,50000,corrupted,,,,Failed
26,Timsort,50000,corrupted,,,,Failed
27,Quick Sort,50000,corrupted,,,,Failed
27,Timsort,50000,corrupted,,,,Failed
28,Quick Sort,50000,corrupted,,,,Failed
28,Timsort,50000,corrupted,,,,Failed
29,Quick Sort,50000,corrupted,,,,Failed
29,Timsort,50000,corrupted,,,,Failed
30,Quick Sort,50000,corrupted,,,,Failed
30,Timsort,50000,corrupted,,,,Failed
1,Quick Sort,100000,random,0.2742667999700643,0.734375,28.9,Success
